"Date","Price","Open","High","Low","Vol.","Change %"
"05/08/2026","822.52","821.38","824.25","814.03","","0.39%"
"05/07/2026","819.33","820.22","824.38","814.09","","0.64%"
"05/06/2026","814.16","820.56","824.41","812.04","","-0.32%"
"05/05/2026","816.77","827.47","827.66","816.62","","-0.97%"
"05/04/2026","824.78","826.52","834.80","820.51","","-0.06%"
"05/01/2026","825.31","825.31","825.31","825.31","","0.00%"
"04/30/2026","825.31","818.34","825.31","816.45","","1.09%"
"04/29/2026","816.40","815.19","820.96","811.25","","-0.04%"
"04/28/2026","816.73","821.58","824.99","811.18","","-1.10%"
"04/27/2026","825.81","830.80","837.04","820.75","","-0.24%"
"04/24/2026","827.82","833.79","838.09","826.19","","-0.51%"
"04/23/2026","832.09","826.75","838.08","820.27","","0.77%"
"04/22/2026","825.77","829.69","830.37","821.84","","0.32%"
"04/21/2026","823.12","821.83","826.55","819.87","","0.63%"
"04/20/2026","817.94","819.78","820.43","813.48","","0.00%"
"04/18/2026","817.96","808.60","817.96","817.96","","0.00%"
"04/17/2026","817.96","808.60","819.75","808.60","","1.65%"
"04/16/2026","804.70","811.92","815.64","804.70","","-0.37%"
"04/15/2026","807.69","800.83","809.50","799.96","","1.13%"
"04/14/2026","798.64","792.89","801.15","792.45","","0.88%"
"04/13/2026","791.66","791.84","795.79","789.11","","-0.42%"
"04/10/2026","794.98","803.77","803.77","792.07","","-0.71%"
"04/09/2026","800.68","810.73","812.64","799.68","","-0.71%"
"04/08/2026","806.38","799.43","812.76","799.43","","2.03%"
"04/07/2026","790.31","806.59","812.20","789.20","","-2.26%"
"04/02/2026","808.57","803.84","811.72","802.56","","0.57%"
"04/01/2026","803.98","808.10","813.36","798.97","","0.32%"
"03/31/2026","801.42","804.58","809.55","791.68","","-0.74%"
"03/30/2026","807.39","782.17","808.85","776.20","","3.33%"
"03/27/2026","781.37","789.15","789.43","779.94","","-0.98%"
"03/26/2026","789.14","800.37","800.37","789.14","","-1.67%"
"03/25/2026","802.53","797.84","804.59","795.00","","0.52%"
