"Date","Price","Open","High","Low","Vol.","Change %"
"03/03/2026","828.46","855.83","855.83","825.77","","-4.71%"
"02/03/2026","869.37","882.32","882.54","867.70","","-1.89%"
"27/02/2026","886.15","885.45","887.46","881.15","","0.84%"
"26/02/2026","878.81","888.88","890.40","876.96","","-1.05%"
"25/02/2026","888.11","883.88","890.75","881.94","","0.73%"
"24/02/2026","881.64","885.22","886.99","877.97","","-0.43%"
"23/02/2026","885.45","897.69","899.45","884.25","","-1.25%"
"20/02/2026","896.67","907.08","907.08","892.64","","-0.09%"
"19/02/2026","897.46","889.52","897.46","888.30","","0.84%"
"18/02/2026","889.95","888.64","898.43","886.79","","0.32%"
"17/02/2026","887.07","898.39","898.39","886.23","","-1.11%"
"16/02/2026","896.99","907.58","919.75","896.07","","-0.83%"
"13/02/2026","904.53","903.34","909.71","901.43","","0.61%"
"12/02/2026","899.03","908.72","912.16","896.60","","-0.82%"
"11/02/2026","906.50","924.31","925.52","903.58","","-1.54%"
"10/02/2026","920.72","974.79","976.42","915.67","","-5.30%"
"09/02/2026","972.28","975.73","980.51","971.25","","0.14%"
"06/02/2026","970.95","964.71","973.04","961.43","","0.97%"
"05/02/2026","961.58","975.74","978.00","961.22","","-1.31%"
"04/02/2026","974.37","980.04","984.20","971.09","","-0.64%"
"03/02/2026","980.62","991.09","995.01","980.61","","-1.27%"
"02/02/2026","993.23","989.14","998.20","985.84","","0.32%"
"30/01/2026","990.04","989.84","994.34","985.85","","0.17%"
"29/01/2026","988.40","1,001.66","1,007.05","987.38","","-1.01%"
"28/01/2026","998.50","1,005.55","1,009.77","998.04","","-0.63%"
"27/01/2026","1,004.81","1,014.89","1,015.54","1,002.11","","-0.87%"
"26/01/2026","1,013.65","1,019.68","1,022.38","1,012.80","","-0.13%"
"23/01/2026","1,014.99","1,019.35","1,023.79","1,014.19","","-0.94%"
"22/01/2026","1,024.60","1,012.27","1,024.65","1,011.94","","1.66%"
"21/01/2026","1,007.83","1,009.29","1,011.07","1,002.40","","0.07%"
"20/01/2026","1,007.11","1,017.33","1,017.48","999.33","","-1.11%"
"19/01/2026","1,018.37","1,026.65","1,026.65","1,009.67","","-1.29%"
"16/01/2026","1,031.69","1,036.50","1,037.21","1,028.07","","-0.23%"
"15/01/2026","1,034.06","1,026.33","1,034.06","1,026.33","","0.83%"
"14/01/2026","1,025.57","1,024.61","1,028.59","1,022.29","","0.16%"
"13/01/2026","1,023.89","1,031.26","1,034.01","1,020.98","","-0.52%"
"12/01/2026","1,029.25","1,037.98","1,038.60","1,023.72","","-0.47%"
"09/01/2026","1,034.06","1,033.99","1,041.09","1,026.89","","-0.01%"
"08/01/2026","1,034.12","1,043.22","1,045.83","1,033.67","","-0.24%"
"07/01/2026","1,036.62","1,037.47","1,040.13","1,033.38","","-0.29%"
"06/01/2026","1,039.65","1,039.65","1,039.65","1,039.65","","0.00%"
"05/01/2026","1,039.65","1,058.39","1,058.39","1,030.99","","-0.98%"
"02/01/2026","1,049.92","1,029.59","1,056.55","1,029.59","","2.53%"
"30/12/2025","1,024.01","1,009.45","1,026.88","1,007.55","","1.85%"
"29/12/2025","1,005.39","999.97","1,013.97","999.97","","0.51%"
"23/12/2025","1,000.29","997.48","1,002.82","991.57","","0.28%"
"22/12/2025","997.48","1,002.30","1,006.08","997.40","","-0.34%"
"19/12/2025","1,000.87","1,011.10","1,011.55","998.49","","-0.91%"
"18/12/2025","1,010.04","994.58","1,010.04","991.94","","1.26%"
"17/12/2025","997.46","1,001.96","1,003.60","990.88","","-0.44%"
"16/12/2025","1,001.84","1,005.11","1,005.45","993.16","","-0.02%"
"15/12/2025","1,002.02","1,003.97","1,005.36","995.72","","0.12%"
"12/12/2025","1,000.85","1,004.81","1,008.26","999.99","","-0.39%"
"11/12/2025","1,004.80","1,006.40","1,010.56","1,002.29","","-0.26%"
"10/12/2025","1,007.39","1,008.82","1,013.24","1,003.01","","-0.13%"
"09/12/2025","1,008.68","1,005.06","1,012.02","1,002.48","","0.41%"
"08/12/2025","1,004.55","1,012.90","1,016.97","1,002.13","","-0.56%"
"05/12/2025","1,010.20","1,013.72","1,015.43","1,007.62","","-0.49%"
"04/12/2025","1,015.16","1,007.84","1,020.27","1,002.78","","1.01%"
"03/12/2025","1,004.96","1,000.71","1,018.33","1,000.71","","0.57%"
"02/12/2025","999.30","1,011.47","1,013.01","998.84","","-1.03%"
"01/12/2025","1,009.66","1,017.37","1,030.95","1,005.81","","-0.79%"
"28/11/2025","1,017.74","1,003.25","1,017.74","997.72","","1.13%"
"27/11/2025","1,006.36","1,002.72","1,006.63","1,001.29","","0.32%"
"26/11/2025","1,003.18","998.18","1,004.11","992.96","","0.60%"
"25/11/2025","997.17","1,004.74","1,006.88","993.00","","-1.00%"
"24/11/2025","1,007.25","999.30","1,015.58","998.10","","1.17%"
"21/11/2025","995.63","1,005.89","1,006.12","992.31","","-1.33%"
"20/11/2025","1,009.02","1,014.05","1,014.89","1,008.18","","0.70%"
"19/11/2025","1,001.98","1,003.06","1,009.64","1,001.01","","0.12%"
