"Date","Price","Open","High","Low","Vol.","Change %"
"03/03/2026","14.85","15.35","15.35","14.85","2.61K","-3.57%"
"02/03/2026","15.40","15.75","15.75","15.35","0.89K","-2.22%"
"27/02/2026","15.75","15.85","15.85","15.65","1.42K","0.32%"
"26/02/2026","15.70","15.40","15.90","15.35","2.47K","1.62%"
"25/02/2026","15.45","15.40","15.45","15.40","0.75K","0.98%"
"24/02/2026","15.30","15.40","15.40","15.20","1.60K","-0.33%"
"23/02/2026","15.35","15.60","15.60","15.25","0.63K","0.33%"
"20/02/2026","15.30","15.45","15.45","15.20","1.23K","-0.33%"
"19/02/2026","15.35","15.15","15.35","15.15","0.22K","0.33%"
"18/02/2026","15.30","15.20","15.30","15.05","3.71K","0.00%"
"17/02/2026","15.30","15.65","15.65","15.15","1.27K","0.33%"
"16/02/2026","15.25","15.55","15.55","15.05","6.62K","-1.93%"
"13/02/2026","15.55","15.80","16.00","15.55","1.60K","-1.58%"
"12/02/2026","15.80","15.70","15.95","15.50","3.88K","0.64%"
"11/02/2026","15.70","15.60","16.00","15.60","1.55K","-1.26%"
"10/02/2026","15.90","16.35","16.45","15.85","4.77K","-0.93%"
"09/02/2026","16.05","15.75","16.20","15.75","2.90K","2.23%"
"06/02/2026","15.70","15.80","16.00","15.60","2.12K","-0.32%"
"05/02/2026","15.75","15.80","15.80","15.65","2.14K","-1.56%"
"04/02/2026","16.00","15.95","16.00","15.95","0.20K","-0.93%"
"03/02/2026","16.15","16.15","16.15","16.15","0.20K","1.25%"
"02/02/2026","15.95","16.40","16.40","15.50","0.38K","-2.74%"
"30/01/2026","16.40","15.80","16.40","15.80","0.74K","2.50%"
"29/01/2026","16.00","15.85","16.40","15.85","2.36K","1.27%"
"28/01/2026","15.80","16.00","16.10","15.80","0.77K","-1.25%"
"27/01/2026","16.00","15.80","16.00","15.80","0.26K","-0.62%"
"26/01/2026","16.10","16.00","16.45","15.80","2.21K","0.63%"
"23/01/2026","16.00","15.55","16.00","15.55","2.33K","0.00%"
"22/01/2026","16.00","15.85","16.05","15.80","4.27K","2.56%"
"21/01/2026","15.60","15.45","15.60","15.30","0.21K","1.30%"
"20/01/2026","15.40","15.55","15.65","15.40","0.21K","-0.65%"
"19/01/2026","15.50","15.55","15.55","15.00","1.54K","-0.96%"
"16/01/2026","15.65","15.90","16.05","15.60","2.07K","-0.95%"
"15/01/2026","15.80","15.70","15.80","15.50","1.59K","0.32%"
"14/01/2026","15.75","15.85","15.85","15.65","0.76K","-0.63%"
"13/01/2026","15.85","16.05","16.05","15.70","1.23K","-1.55%"
"12/01/2026","16.10","15.70","16.15","15.50","3.25K","1.58%"
"09/01/2026","15.85","15.80","15.95","15.80","0.21K","0.00%"
"08/01/2026","15.85","15.90","15.90","15.85","0.11K","-0.31%"
"07/01/2026","15.90","15.80","15.90","15.70","1.62K","0.63%"
"05/01/2026","15.80","15.90","15.95","15.45","2.98K","-0.63%"
"02/01/2026","15.90","15.85","16.00","15.60","1.94K","0.63%"
"30/12/2025","15.80","15.95","16.25","15.55","9.40K","-0.94%"
"29/12/2025","15.95","15.65","16.05","15.35","7.02K","1.59%"
"23/12/2025","15.70","15.50","15.70","15.25","1.46K","0.96%"
"22/12/2025","15.55","15.40","15.55","15.30","3.02K","0.97%"
"19/12/2025","15.40","15.40","15.60","15.35","3.66K","-0.32%"
"18/12/2025","15.45","15.45","15.60","15.40","1.80K","-0.32%"
"17/12/2025","15.50","15.45","15.70","15.45","0.69K","-1.27%"
"16/12/2025","15.70","15.45","15.70","15.40","1.81K","1.95%"
"15/12/2025","15.40","15.40","15.60","15.25","5.69K","-0.96%"
"12/12/2025","15.55","15.15","15.80","15.15","5.08K","2.30%"
"11/12/2025","15.20","15.40","15.85","14.95","23.76K","-0.65%"
"10/12/2025","15.30","15.50","15.50","15.30","1.54K","-1.29%"
"09/12/2025","15.50","15.45","15.55","15.45","0.57K","0.32%"
"08/12/2025","15.45","15.60","15.65","15.45","1.18K","-0.96%"
"05/12/2025","15.60","15.60","15.75","15.60","0.33K","-0.64%"
"04/12/2025","15.70","15.60","15.70","15.50","1.70K","0.64%"
"03/12/2025","15.60","15.65","15.80","15.55","0.82K","-1.89%"
"02/12/2025","15.90","15.85","15.90","15.85","0.26K","0.00%"
"01/12/2025","15.90","15.55","15.90","15.55","2.07K","1.27%"
"28/11/2025","15.70","16.00","16.00","15.60","0.22K","0.00%"
"27/11/2025","15.70","15.55","15.85","15.50","2.20K","-0.32%"
"26/11/2025","15.75","15.55","15.75","15.50","0.93K","1.94%"
"25/11/2025","15.45","15.60","15.65","15.45","1.02K","-0.64%"
"24/11/2025","15.55","15.60","15.65","15.45","1.34K","0.00%"
"21/11/2025","15.55","15.70","15.70","15.55","0.70K","-0.96%"
"20/11/2025","15.70","15.85","16.05","15.70","0.61K","0.32%"
"19/11/2025","15.65","15.80","15.80","15.65","0.24K","-0.95%"
"18/11/2025","15.80","15.95","15.95","15.80","0.86K","-1.25%"
"17/11/2025","16.00","16.05","16.05","15.90","0.58K","0.31%"
"14/11/2025","15.95","15.80","15.95","15.80","1.05K","-0.31%"
"13/11/2025","16.00","16.20","16.20","15.75","0.89K","1.91%"
"12/11/2025","15.70","15.60","15.85","15.60","0.80K","0.00%"
"11/11/2025","15.70","15.75","15.90","15.60","1.89K","-1.26%"
"10/11/2025","15.90","15.70","15.90","15.65","0.41K","0.63%"
"07/11/2025","15.80","15.75","15.95","15.60","0.91K","0.32%"
"06/11/2025","15.75","15.90","16.05","15.60","0.38K","-0.94%"
"05/11/2025","15.90","15.85","15.90","15.80","0.59K","0.00%"
"04/11/2025","15.90","15.85","16.00","15.75","2.93K","0.00%"
"03/11/2025","15.90","15.80","16.35","15.80","0.35K","0.95%"
"31/10/2025","15.75","15.80","15.90","15.75","2.00K","0.00%"
"30/10/2025","15.75","15.85","16.50","15.75","0.65K","-0.63%"
"29/10/2025","15.85","16.10","16.10","15.75","1.47K","-0.31%"
"28/10/2025","15.90","15.85","16.00","15.85","1.20K","0.95%"
"27/10/2025","15.75","15.95","16.00","15.70","2.48K","-1.56%"
"24/10/2025","16.00","15.85","16.15","15.85","1.24K","0.31%"
"23/10/2025","15.95","16.10","16.10","15.95","1.84K","-0.31%"
"22/10/2025","16.00","15.90","16.20","15.70","1.86K","0.63%"
"21/10/2025","15.90","15.90","16.05","15.75","2.41K","0.32%"
"20/10/2025","15.85","15.70","16.50","15.55","3.65K","0.00%"
"17/10/2025","15.85","16.20","16.20","15.55","7.74K","-1.86%"
"16/10/2025","16.15","16.25","16.25","15.90","5.46K","-0.62%"
"15/10/2025","16.25","16.25","16.25","15.90","8.59K","-0.91%"
"14/10/2025","16.40","16.35","16.55","16.10","3.18K","0.00%"
"13/10/2025","16.40","16.65","16.70","16.40","2.55K","0.00%"
"10/10/2025","16.40","17.20","17.45","15.95","23.94K","-4.65%"
"09/10/2025","17.20","16.90","17.20","16.90","1.78K","1.18%"
"08/10/2025","17.00","17.10","17.10","16.90","0.83K","-0.29%"
"07/10/2025","17.05","16.95","17.25","16.90","2.59K","-0.29%"
"06/10/2025","17.10","16.95","17.10","16.90","1.84K","0.88%"
"03/10/2025","16.95","17.10","17.30","16.95","1.68K","0.00%"
"02/10/2025","16.95","17.00","17.25","16.95","1.15K","-0.29%"
"01/10/2025","17.00","17.20","17.30","17.00","0.94K","-2.58%"
"30/09/2025","17.45","17.00","17.85","17.00","0.16K","1.45%"
"29/09/2025","17.20","17.20","17.20","17.00","0.64K","1.18%"
"26/09/2025","17.00","17.00","17.15","16.95","1.08K","0.29%"
"25/09/2025","16.95","17.00","17.10","16.95","0.52K","-0.29%"
"24/09/2025","17.00","17.25","17.25","17.00","0.56K","-0.87%"
"23/09/2025","17.15","17.20","17.80","17.15","7.36K","-1.44%"
"22/09/2025","17.40","17.40","17.40","17.20","2.64K","0.58%"
"19/09/2025","17.30","17.15","17.30","16.95","3.90K","1.76%"
"18/09/2025","17.00","17.25","17.35","17.00","7.19K","-1.16%"
"17/09/2025","17.20","17.20","17.20","17.05","1.86K","-0.29%"
"16/09/2025","17.25","17.05","17.50","17.05","1.45K","1.17%"
"15/09/2025","17.05","17.30","17.30","17.05","3.33K","-1.45%"
"12/09/2025","17.30","17.40","17.40","17.15","0.84K","0.87%"
"11/09/2025","17.15","17.15","17.40","17.05","2.44K","0.29%"
"10/09/2025","17.10","17.35","17.35","17.05","5.04K","-1.72%"
"09/09/2025","17.40","17.80","17.80","17.25","2.01K","-0.57%"
"08/09/2025","17.50","17.25","17.50","17.15","1.97K","2.94%"
"05/09/2025","17.00","17.25","17.25","17.00","2.63K","-1.16%"
"04/09/2025","17.20","17.30","17.35","17.20","1.25K","0.29%"
"03/09/2025","17.15","17.30","17.40","17.05","4.57K","-1.15%"
"02/09/2025","17.35","17.40","17.40","17.30","1.04K","-0.29%"
"01/09/2025","17.40","17.85","17.85","17.20","2.38K","0.29%"
"29/08/2025","17.35","17.45","17.45","17.20","8.30K","-1.70%"
"28/08/2025","17.65","17.35","17.65","17.30","1.47K","0.00%"
"27/08/2025","17.65","17.30","17.65","17.25","0.33K","1.73%"
"26/08/2025","17.35","17.25","17.70","17.25","0.20K","0.00%"
"25/08/2025","17.35","17.45","17.45","17.35","0.58K","-0.57%"
"22/08/2025","17.45","17.90","17.90","17.35","3.53K","-2.79%"
"21/08/2025","17.95","17.55","17.95","17.55","0.39K","0.00%"
"20/08/2025","17.95","17.55","17.95","17.55","0.18K","1.41%"
"19/08/2025","17.70","17.85","17.85","17.65","2.02K","-1.12%"
"18/08/2025","17.90","17.90","17.90","17.55","0.92K","-0.28%"
"15/08/2025","17.95","17.80","17.95","17.80","0.18K","0.84%"
"14/08/2025","17.80","17.65","17.85","17.65","1.67K","0.85%"
"13/08/2025","17.65","17.85","17.85","17.65","1.37K","-1.12%"
"12/08/2025","17.85","17.85","17.95","17.50","5.59K","0.00%"
"11/08/2025","17.85","17.40","17.85","17.25","1.09K","2.59%"
"08/08/2025","17.40","17.85","17.85","17.40","3.62K","-2.25%"
"07/08/2025","17.80","17.50","17.80","17.50","0.66K","1.71%"
"06/08/2025","17.50","17.50","17.50","17.45","0.28K","-0.57%"
"05/08/2025","17.60","17.90","17.90","17.60","0.14K","0.86%"
"04/08/2025","17.45","17.45","17.45","17.45","0.01K","0.00%"
"01/08/2025","17.45","17.55","17.65","17.45","0.29K","-1.13%"
"31/07/2025","17.65","17.55","17.65","17.55","0.32K","0.28%"
"30/07/2025","17.60","17.95","17.95","17.60","0.90K","-0.56%"
"29/07/2025","17.70","17.70","17.70","17.70","1.57K","-1.12%"
"28/07/2025","17.90","17.70","17.95","17.70","0.12K","1.70%"
"25/07/2025","17.60","17.65","17.90","17.60","0.55K","-1.68%"
"24/07/2025","17.90","17.75","17.95","17.75","0.54K","-0.28%"
"23/07/2025","17.95","17.70","17.95","17.70","0.02K","0.28%"
"22/07/2025","17.90","17.85","18.15","17.65","2.64K","-2.45%"
"21/07/2025","18.35","17.85","18.35","17.80","1.77K","3.67%"
"18/07/2025","17.70","17.90","17.90","17.65","0.98K","-1.39%"
"17/07/2025","17.95","17.70","17.95","17.70","0.03K","0.00%"
"16/07/2025","17.95","17.70","17.95","17.70","0.42K","0.00%"
"15/07/2025","17.95","17.80","17.95","17.70","0.72K","1.13%"
"14/07/2025","17.75","17.80","17.80","17.75","0.02K","-0.56%"
"11/07/2025","17.85","17.95","18.00","17.85","2.06K","-0.83%"
"10/07/2025","18.00","17.95","18.00","17.90","0.37K","0.28%"
"09/07/2025","17.95","17.90","17.95","17.90","0.83K","0.00%"
"08/07/2025","17.95","17.80","17.95","17.80","0.68K","0.56%"
"07/07/2025","17.85","17.85","18.00","17.85","0.96K","-1.11%"
"04/07/2025","18.05","17.90","18.05","17.70","0.53K","0.84%"
"03/07/2025","17.90","17.80","18.00","17.65","1.31K","0.56%"
"02/07/2025","17.80","17.70","17.95","17.65","0.73K","-1.66%"
"01/07/2025","18.10","17.80","18.10","17.75","0.28K","0.00%"
"30/06/2025","18.10","18.15","18.15","18.10","0.58K","1.69%"
"27/06/2025","17.80","18.15","18.15","17.70","0.81K","-1.11%"
"26/06/2025","18.00","18.65","18.65","18.00","0.16K","-0.55%"
"25/06/2025","18.10","18.70","18.70","17.80","0.96K","0.56%"
"24/06/2025","18.00","17.70","18.15","17.70","1.12K","1.12%"
"23/06/2025","17.80","17.55","18.10","17.55","0.73K","-1.66%"
"19/06/2025","18.10","17.80","18.25","17.80","1.10K","-0.55%"
"18/06/2025","18.20","18.00","18.20","17.70","0.05K","0.28%"
"17/06/2025","18.15","17.65","18.15","17.65","1.46K","2.25%"
"16/06/2025","17.75","17.85","17.85","17.55","0.65K","-0.56%"
"13/06/2025","17.85","18.10","18.10","17.55","2.81K","-1.38%"
"12/06/2025","18.10","18.10","18.10","18.10","0.06K","-1.90%"
"11/06/2025","18.45","18.10","18.45","18.10","0.14K","1.37%"
"10/06/2025","18.20","18.70","18.70","18.20","0.77K","0.55%"
"09/06/2025","18.10","18.30","18.30","17.75","7.94K","-1.09%"
"06/06/2025","18.30","18.45","18.45","18.20","4.20K","-1.08%"
"05/06/2025","18.50","18.50","18.95","18.35","2.73K","-0.27%"
"04/06/2025","18.55","18.90","18.90","18.30","0.99K","-0.54%"
"03/06/2025","18.65","18.95","18.95","18.55","1.32K","-1.58%"
"02/06/2025","18.95","19.75","19.75","18.95","1.33K","-3.56%"
"30/05/2025","19.65","19.90","19.90","19.65","1.47K","-1.01%"
"28/05/2025","19.85","19.20","20.00","19.20","1.19K","3.12%"
"27/05/2025","19.25","19.40","19.60","19.15","1.31K","1.58%"
"26/05/2025","18.95","19.25","19.25","18.95","0.30K","1.34%"
"23/05/2025","18.70","18.70","19.15","18.70","0.62K","-0.27%"
"21/05/2025","18.75","18.85","19.25","18.75","0.51K","-0.53%"
"20/05/2025","18.85","18.85","19.25","18.85","0.47K","-1.57%"
"19/05/2025","19.15","19.00","19.20","18.95","0.02K","-0.78%"
"16/05/2025","19.30","18.80","19.30","18.80","0.35K","1.58%"
"15/05/2025","19.00","18.70","19.35","18.65","3.51K","1.33%"
"14/05/2025","18.75","18.80","18.80","18.55","0.30K","-0.27%"
"13/05/2025","18.80","18.65","19.10","18.45","2.73K","-2.08%"
"12/05/2025","19.20","19.20","19.30","18.30","1.51K","2.40%"
"09/05/2025","18.75","18.85","19.30","18.60","2.21K","-0.27%"
"08/05/2025","18.80","19.00","19.00","18.75","1.20K","-0.79%"
"07/05/2025","18.95","19.35","19.35","18.95","0.03K","-2.07%"
"06/05/2025","19.35","19.75","19.75","19.00","0.32K","2.11%"
