"Date","Price","Open","High","Low","Vol.","Change %"
"05/08/2026","16.20","16.25","16.30","16.15","0.72K","-0.31%"
"05/07/2026","16.25","16.20","16.25","16.10","1.61K","0.31%"
"05/06/2026","16.20","16.15","16.35","15.70","0.83K","0.31%"
"05/05/2026","16.15","15.90","16.15","15.75","1.18K","-0.31%"
"05/04/2026","16.20","15.55","16.20","15.55","1.77K","4.18%"
"04/30/2026","15.55","15.50","15.90","15.50","3.73K","0.97%"
"04/29/2026","15.40","16.35","16.35","15.05","12.85K","-5.81%"
"04/28/2026","16.35","16.15","16.40","16.15","0.61K","0.93%"
"04/27/2026","16.20","16.10","16.65","16.10","2.18K","0.93%"
"04/24/2026","16.05","15.65","16.05","15.65","4.79K","2.56%"
"04/23/2026","15.65","15.55","16.00","15.55","0.63K","-1.26%"
"04/22/2026","15.85","15.90","15.90","15.75","0.69K","0.63%"
"04/21/2026","15.75","15.85","15.90","15.75","1.35K","0.00%"
"04/20/2026","15.75","15.25","15.80","15.25","0.99K","3.28%"
"04/17/2026","15.25","15.10","15.30","15.10","0.41K","1.33%"
"04/16/2026","15.05","15.15","15.25","14.90","0.99K","-0.66%"
"04/15/2026","15.15","15.10","15.35","15.10","1.38K","0.33%"
"04/14/2026","15.10","15.25","15.25","15.00","0.69K","-0.66%"
"04/13/2026","15.20","15.10","15.20","15.00","3.62K","-0.33%"
"04/10/2026","15.25","15.20","15.25","15.10","0.38K","0.33%"
"04/09/2026","15.20","15.05","15.25","15.05","0.80K","1.33%"
"04/08/2026","15.00","15.10","15.50","14.80","1.80K","2.04%"
"04/07/2026","14.70","14.90","15.15","14.70","1.67K","-1.34%"
"04/02/2026","14.90","14.80","15.30","14.70","0.92K","0.68%"
"04/01/2026","14.80","14.75","15.05","14.75","1.15K","0.34%"
"03/31/2026","14.75","14.75","14.85","14.60","2.61K","-1.01%"
"03/30/2026","14.90","14.60","15.40","14.60","0.44K","-2.61%"
"03/27/2026","15.30","14.90","15.30","14.50","3.68K","4.44%"
"03/26/2026","14.65","15.00","15.00","14.60","0.96K","-1.68%"
"03/25/2026","14.90","14.90","14.90","14.90","0.63K","1.36%"
"03/24/2026","14.70","14.85","14.85","14.65","1.26K","-0.34%"
"03/23/2026","14.75","14.90","14.90","14.70","2.83K","-0.67%"
"03/20/2026","14.85","15.05","15.35","14.85","1.60K","-2.94%"
"03/19/2026","15.30","15.20","15.35","15.15","1.87K","0.66%"
"03/18/2026","15.20","15.65","15.65","15.20","1.06K","0.00%"
"03/17/2026","15.20","15.45","15.45","15.20","0.35K","0.00%"
"03/16/2026","15.20","15.20","15.25","15.20","0.12K","-0.65%"
"03/13/2026","15.30","15.15","15.55","15.15","1.39K","-1.61%"
"03/12/2026","15.55","15.20","15.55","15.20","0.50K","2.98%"
"03/11/2026","15.10","15.45","15.45","15.10","0.54K","-2.27%"
"03/10/2026","15.45","15.20","15.45","15.20","0.68K","3.00%"
"03/09/2026","15.00","14.90","15.10","14.90","1.42K","-1.96%"
"03/06/2026","15.30","15.15","15.70","15.15","0.77K","-1.61%"
"03/05/2026","15.55","15.70","15.70","15.55","0.63K","2.30%"
"03/04/2026","15.20","15.10","15.35","15.00","3.17K","2.36%"
"03/03/2026","14.85","15.35","15.35","14.85","2.61K","-3.57%"
"03/02/2026","15.40","15.75","15.75","15.35","0.89K","-2.22%"
"02/27/2026","15.75","15.85","15.85","15.65","1.42K","0.32%"
"02/26/2026","15.70","15.40","15.90","15.35","2.47K","1.62%"
"02/25/2026","15.45","15.40","15.45","15.40","0.75K","0.98%"
"02/24/2026","15.30","15.40","15.40","15.20","1.60K","-0.33%"
"02/23/2026","15.35","15.60","15.60","15.25","0.63K","0.33%"
"02/20/2026","15.30","15.45","15.45","15.20","1.23K","-0.33%"
"02/19/2026","15.35","15.15","15.35","15.15","0.22K","0.33%"
"02/18/2026","15.30","15.20","15.30","15.05","3.71K","0.00%"
"02/17/2026","15.30","15.65","15.65","15.15","1.27K","0.33%"
"02/16/2026","15.25","15.55","15.55","15.05","6.62K","-1.93%"
"02/13/2026","15.55","15.80","16.00","15.55","1.60K","-1.58%"
"02/12/2026","15.80","15.70","15.95","15.50","3.88K","0.64%"
"02/11/2026","15.70","15.60","16.00","15.60","1.55K","-1.26%"
"02/10/2026","15.90","16.35","16.45","15.85","4.77K","-0.93%"
"02/09/2026","16.05","15.75","16.20","15.75","2.90K","2.23%"
"02/06/2026","15.70","15.80","16.00","15.60","2.12K","-0.32%"
"02/05/2026","15.75","15.80","15.80","15.65","2.14K","-1.56%"
"02/04/2026","16.00","15.95","16.00","15.95","0.20K","-0.93%"
"02/03/2026","16.15","16.15","16.15","16.15","0.20K","1.25%"
"02/02/2026","15.95","16.40","16.40","15.50","0.38K","-2.74%"
"01/30/2026","16.40","15.80","16.40","15.80","0.74K","2.50%"
"01/29/2026","16.00","15.85","16.40","15.85","2.36K","1.27%"
"01/28/2026","15.80","16.00","16.10","15.80","0.77K","-1.25%"
"01/27/2026","16.00","15.80","16.00","15.80","0.26K","-0.62%"
"01/26/2026","16.10","16.00","16.45","15.80","2.21K","0.63%"
"01/23/2026","16.00","15.55","16.00","15.55","2.33K","0.00%"
"01/22/2026","16.00","15.85","16.05","15.80","4.27K","2.56%"
"01/21/2026","15.60","15.45","15.60","15.30","0.21K","1.30%"
"01/20/2026","15.40","15.55","15.65","15.40","0.21K","-0.65%"
"01/19/2026","15.50","15.55","15.55","15.00","1.54K","-0.96%"
"01/16/2026","15.65","15.90","16.05","15.60","2.07K","-0.95%"
"01/15/2026","15.80","15.70","15.80","15.50","1.59K","0.32%"
"01/14/2026","15.75","15.85","15.85","15.65","0.76K","-0.63%"
"01/13/2026","15.85","16.05","16.05","15.70","1.23K","-1.55%"
"01/12/2026","16.10","15.70","16.15","15.50","3.25K","1.58%"
"01/09/2026","15.85","15.80","15.95","15.80","0.21K","0.00%"
"01/08/2026","15.85","15.90","15.90","15.85","0.11K","-0.31%"
"01/07/2026","15.90","15.80","15.90","15.70","1.62K","0.63%"
"01/05/2026","15.80","15.90","15.95","15.45","2.98K","-0.63%"
"01/02/2026","15.90","15.85","16.00","15.60","1.94K","0.63%"
"12/30/2025","15.80","15.95","16.25","15.55","9.40K","-0.94%"
"12/29/2025","15.95","15.65","16.05","15.35","7.02K","1.59%"
"12/23/2025","15.70","15.50","15.70","15.25","1.46K","0.96%"
"12/22/2025","15.55","15.40","15.55","15.30","3.02K","0.97%"
"12/19/2025","15.40","15.40","15.60","15.35","3.66K","-0.32%"
"12/18/2025","15.45","15.45","15.60","15.40","1.80K","-0.32%"
"12/17/2025","15.50","15.45","15.70","15.45","0.69K","-1.27%"
"12/16/2025","15.70","15.45","15.70","15.40","1.81K","1.95%"
"12/15/2025","15.40","15.40","15.60","15.25","5.69K","-0.96%"
"12/12/2025","15.55","15.15","15.80","15.15","5.08K","2.30%"
"12/11/2025","15.20","15.40","15.85","14.95","23.76K","-0.65%"
"12/10/2025","15.30","15.50","15.50","15.30","1.54K","-1.29%"
"12/09/2025","15.50","15.45","15.55","15.45","0.57K","0.32%"
"12/08/2025","15.45","15.60","15.65","15.45","1.18K","-0.96%"
"12/05/2025","15.60","15.60","15.75","15.60","0.33K","-0.64%"
"12/04/2025","15.70","15.60","15.70","15.50","1.70K","0.64%"
"12/03/2025","15.60","15.65","15.80","15.55","0.82K","-1.89%"
"12/02/2025","15.90","15.85","15.90","15.85","0.26K","0.00%"
"12/01/2025","15.90","15.55","15.90","15.55","2.07K","1.27%"
"11/28/2025","15.70","16.00","16.00","15.60","0.22K","0.00%"
"11/27/2025","15.70","15.55","15.85","15.50","2.20K","-0.32%"
"11/26/2025","15.75","15.55","15.75","15.50","0.93K","1.94%"
"11/25/2025","15.45","15.60","15.65","15.45","1.02K","-0.64%"
"11/24/2025","15.55","15.60","15.65","15.45","1.34K","0.00%"
"11/21/2025","15.55","15.70","15.70","15.55","0.70K","-0.96%"
"11/20/2025","15.70","15.85","16.05","15.70","0.61K","0.32%"
"11/19/2025","15.65","15.80","15.80","15.65","0.24K","-0.95%"
"11/18/2025","15.80","15.95","15.95","15.80","0.86K","-1.25%"
"11/17/2025","16.00","16.05","16.05","15.90","0.58K","0.31%"
"11/14/2025","15.95","15.80","15.95","15.80","1.05K","-0.31%"
"11/13/2025","16.00","16.20","16.20","15.75","0.89K","1.91%"
"11/12/2025","15.70","15.60","15.85","15.60","0.80K","0.00%"
"11/11/2025","15.70","15.75","15.90","15.60","1.89K","-1.26%"
"11/10/2025","15.90","15.70","15.90","15.65","0.41K","0.63%"
"11/07/2025","15.80","15.75","15.95","15.60","0.91K","0.32%"
"11/06/2025","15.75","15.90","16.05","15.60","0.38K","-0.94%"
"11/05/2025","15.90","15.85","15.90","15.80","0.59K","0.00%"
"11/04/2025","15.90","15.85","16.00","15.75","2.93K","0.00%"
"11/03/2025","15.90","15.80","16.35","15.80","0.35K","0.95%"
"10/31/2025","15.75","15.80","15.90","15.75","2.00K","0.00%"
"10/30/2025","15.75","15.85","16.50","15.75","0.65K","-0.63%"
"10/29/2025","15.85","16.10","16.10","15.75","1.47K","-0.31%"
"10/28/2025","15.90","15.85","16.00","15.85","1.20K","0.95%"
"10/27/2025","15.75","15.95","16.00","15.70","2.48K","-1.56%"
"10/24/2025","16.00","15.85","16.15","15.85","1.24K","0.31%"
"10/23/2025","15.95","16.10","16.10","15.95","1.84K","-0.31%"
"10/22/2025","16.00","15.90","16.20","15.70","1.86K","0.63%"
"10/21/2025","15.90","15.90","16.05","15.75","2.41K","0.32%"
"10/20/2025","15.85","15.70","16.50","15.55","3.65K","0.00%"
"10/17/2025","15.85","16.20","16.20","15.55","7.74K","-1.86%"
"10/16/2025","16.15","16.25","16.25","15.90","5.46K","-0.62%"
"10/15/2025","16.25","16.25","16.25","15.90","8.59K","-0.91%"
"10/14/2025","16.40","16.35","16.55","16.10","3.18K","0.00%"
"10/13/2025","16.40","16.65","16.70","16.40","2.55K","0.00%"
"10/10/2025","16.40","17.20","17.45","15.95","23.94K","-4.65%"
"10/09/2025","17.20","16.90","17.20","16.90","1.78K","1.18%"
"10/08/2025","17.00","17.10","17.10","16.90","0.83K","-0.29%"
"10/07/2025","17.05","16.95","17.25","16.90","2.59K","-0.29%"
"10/06/2025","17.10","16.95","17.10","16.90","1.84K","0.88%"
"10/03/2025","16.95","17.10","17.30","16.95","1.68K","0.00%"
"10/02/2025","16.95","17.00","17.25","16.95","1.15K","-0.29%"
"10/01/2025","17.00","17.20","17.30","17.00","0.94K","-2.58%"
"09/30/2025","17.45","17.00","17.85","17.00","0.16K","1.45%"
"09/29/2025","17.20","17.20","17.20","17.00","0.64K","1.18%"
"09/26/2025","17.00","17.00","17.15","16.95","1.08K","0.29%"
"09/25/2025","16.95","17.00","17.10","16.95","0.52K","-0.29%"
"09/24/2025","17.00","17.25","17.25","17.00","0.56K","-0.87%"
"09/23/2025","17.15","17.20","17.80","17.15","7.36K","-1.44%"
"09/22/2025","17.40","17.40","17.40","17.20","2.64K","0.58%"
"09/19/2025","17.30","17.15","17.30","16.95","3.90K","1.76%"
"09/18/2025","17.00","17.25","17.35","17.00","7.19K","-1.16%"
"09/17/2025","17.20","17.20","17.20","17.05","1.86K","-0.29%"
"09/16/2025","17.25","17.05","17.50","17.05","1.45K","1.17%"
"09/15/2025","17.05","17.30","17.30","17.05","3.33K","-1.45%"
"09/12/2025","17.30","17.40","17.40","17.15","0.84K","0.87%"
"09/11/2025","17.15","17.15","17.40","17.05","2.44K","0.29%"
"09/10/2025","17.10","17.35","17.35","17.05","5.04K","-1.72%"
"09/09/2025","17.40","17.80","17.80","17.25","2.01K","-0.57%"
"09/08/2025","17.50","17.25","17.50","17.15","1.97K","2.94%"
"09/05/2025","17.00","17.25","17.25","17.00","2.63K","-1.16%"
"09/04/2025","17.20","17.30","17.35","17.20","1.25K","0.29%"
"09/03/2025","17.15","17.30","17.40","17.05","4.57K","-1.15%"
"09/02/2025","17.35","17.40","17.40","17.30","1.04K","-0.29%"
"09/01/2025","17.40","17.85","17.85","17.20","2.38K","0.29%"
"08/29/2025","17.35","17.45","17.45","17.20","8.30K","-1.70%"
"08/28/2025","17.65","17.35","17.65","17.30","1.47K","0.00%"
"08/27/2025","17.65","17.30","17.65","17.25","0.33K","1.73%"
"08/26/2025","17.35","17.25","17.70","17.25","0.20K","0.00%"
"08/25/2025","17.35","17.45","17.45","17.35","0.58K","-0.57%"
"08/22/2025","17.45","17.90","17.90","17.35","3.53K","-2.79%"
"08/21/2025","17.95","17.55","17.95","17.55","0.39K","0.00%"
"08/20/2025","17.95","17.55","17.95","17.55","0.18K","1.41%"
"08/19/2025","17.70","17.85","17.85","17.65","2.02K","-1.12%"
"08/18/2025","17.90","17.90","17.90","17.55","0.92K","-0.28%"
"08/15/2025","17.95","17.80","17.95","17.80","0.18K","0.84%"
"08/14/2025","17.80","17.65","17.85","17.65","1.67K","0.85%"
"08/13/2025","17.65","17.85","17.85","17.65","1.37K","-1.12%"
"08/12/2025","17.85","17.85","17.95","17.50","5.59K","0.00%"
"08/11/2025","17.85","17.40","17.85","17.25","1.09K","2.59%"
"08/08/2025","17.40","17.85","17.85","17.40","3.62K","-2.25%"
"08/07/2025","17.80","17.50","17.80","17.50","0.66K","1.71%"
"08/06/2025","17.50","17.50","17.50","17.45","0.28K","-0.57%"
"08/05/2025","17.60","17.90","17.90","17.60","0.14K","0.86%"
"08/04/2025","17.45","17.45","17.45","17.45","0.01K","0.00%"
"08/01/2025","17.45","17.55","17.65","17.45","0.29K","-1.13%"
"07/31/2025","17.65","17.55","17.65","17.55","0.32K","0.28%"
"07/30/2025","17.60","17.95","17.95","17.60","0.90K","-0.56%"
"07/29/2025","17.70","17.70","17.70","17.70","1.57K","-1.12%"
"07/28/2025","17.90","17.70","17.95","17.70","0.12K","1.70%"
"07/25/2025","17.60","17.65","17.90","17.60","0.55K","-1.68%"
"07/24/2025","17.90","17.75","17.95","17.75","0.54K","-0.28%"
"07/23/2025","17.95","17.70","17.95","17.70","0.02K","0.28%"
"07/22/2025","17.90","17.85","18.15","17.65","2.64K","-2.45%"
"07/21/2025","18.35","17.85","18.35","17.80","1.77K","3.67%"
"07/18/2025","17.70","17.90","17.90","17.65","0.98K","-1.39%"
"07/17/2025","17.95","17.70","17.95","17.70","0.03K","0.00%"
"07/16/2025","17.95","17.70","17.95","17.70","0.42K","0.00%"
"07/15/2025","17.95","17.80","17.95","17.70","0.72K","1.13%"
"07/14/2025","17.75","17.80","17.80","17.75","0.02K","-0.56%"
"07/11/2025","17.85","17.95","18.00","17.85","2.06K","-0.83%"
"07/10/2025","18.00","17.95","18.00","17.90","0.37K","0.28%"
"07/09/2025","17.95","17.90","17.95","17.90","0.83K","0.00%"
"07/08/2025","17.95","17.80","17.95","17.80","0.68K","0.56%"
"07/07/2025","17.85","17.85","18.00","17.85","0.96K","-1.11%"
"07/04/2025","18.05","17.90","18.05","17.70","0.53K","0.84%"
"07/03/2025","17.90","17.80","18.00","17.65","1.31K","0.56%"
"07/02/2025","17.80","17.70","17.95","17.65","0.73K","-1.66%"
"07/01/2025","18.10","17.80","18.10","17.75","0.28K","0.00%"
"06/30/2025","18.10","18.15","18.15","18.10","0.58K","1.69%"
