"Date","Price","Open","High","Low","Vol.","Change %"
"03/03/2026","5,958.02","6,064.07","6,064.25","5,914.22","70.90M","-2.78%"
"02/03/2026","6,128.49","6,036.56","6,142.64","6,026.61","63.88M","-0.31%"
"27/02/2026","6,147.52","6,107.43","6,165.57","6,103.54","75.53M","0.93%"
"26/02/2026","6,091.00","6,129.70","6,131.36","6,059.99","33.41M","-0.75%"
"25/02/2026","6,137.21","6,126.96","6,146.61","6,107.16","32.88M","0.24%"
"24/02/2026","6,122.75","6,087.66","6,143.27","6,065.88","74.73M","0.28%"
"23/02/2026","6,105.71","6,132.72","6,134.40","6,081.70","34.67M","-0.13%"
"20/02/2026","6,113.90","6,104.93","6,142.97","6,072.95","38.43M","0.63%"
"19/02/2026","6,075.91","6,069.39","6,091.51","6,035.92","33.38M","0.01%"
"18/02/2026","6,075.47","6,031.60","6,083.98","6,027.80","40.10M","1.34%"
"17/02/2026","5,995.38","5,945.17","5,995.38","5,928.89","28.01M","0.62%"
"16/02/2026","5,958.20","5,970.28","5,982.61","5,939.41","28.00M","0.37%"
"13/02/2026","5,936.39","5,913.26","5,948.66","5,878.57","38.46M","0.23%"
"12/02/2026","5,922.81","6,090.49","6,090.49","5,918.56","50.58M","-2.24%"
"11/02/2026","6,058.68","5,973.34","6,064.01","5,949.12","47.29M","1.69%"
"10/02/2026","5,958.17","5,949.67","5,965.87","5,928.57","44.75M","0.17%"
"09/02/2026","5,948.25","5,941.33","5,948.58","5,886.90","32.13M","0.47%"
"06/02/2026","5,920.49","5,894.67","5,929.04","5,844.45","37.70M","0.25%"
"05/02/2026","5,905.56","5,947.45","5,968.00","5,864.11","39.41M","-1.30%"
"04/02/2026","5,983.15","5,937.36","6,035.41","5,930.93","50.48M","0.79%"
"03/02/2026","5,936.00","5,906.32","5,941.03","5,872.57","35.56M","0.92%"
"02/02/2026","5,881.86","5,767.80","5,882.29","5,767.80","38.68M","1.37%"
"30/01/2026","5,802.33","5,792.11","5,803.20","5,785.83","53.22M","-0.07%"
"29/01/2026","5,806.25","5,870.29","5,907.34","5,800.70","57.67M","-1.18%"
"28/01/2026","5,875.48","5,937.09","5,937.70","5,848.51","40.85M","-1.17%"
"27/01/2026","5,944.77","5,919.45","5,946.81","5,909.60","31.49M","0.70%"
"26/01/2026","5,903.52","5,867.57","5,905.69","5,864.34","29.75M","0.88%"
"23/01/2026","5,852.30","5,901.26","5,909.66","5,848.40","38.60M","-0.69%"
"22/01/2026","5,892.95","5,870.07","5,905.05","5,860.30","31.82M","1.67%"
"21/01/2026","5,796.22","5,726.57","5,812.14","5,717.61","33.72M","0.97%"
"20/01/2026","5,740.72","5,786.15","5,786.67","5,715.07","34.32M","-1.51%"
"19/01/2026","5,829.02","5,783.34","5,833.05","5,763.92","29.15M","-1.46%"
"16/01/2026","5,915.53","5,925.38","5,930.79","5,891.23","35.23M","-0.24%"
"15/01/2026","5,929.83","5,873.72","5,929.87","5,860.60","41.38M","1.07%"
"14/01/2026","5,867.30","5,806.35","5,867.30","5,798.80","36.38M","1.29%"
"13/01/2026","5,792.43","5,810.71","5,818.22","5,771.22","31.67M","0.02%"
"12/01/2026","5,791.02","5,789.04","5,791.02","5,760.20","25.48M","-0.15%"
"09/01/2026","5,799.86","5,779.51","5,800.21","5,753.32","32.12M","0.50%"
"08/01/2026","5,770.94","5,830.04","5,831.72","5,753.59","34.30M","-1.03%"
"07/01/2026","5,831.26","5,758.81","5,848.28","5,755.86","61.59M","1.12%"
"05/01/2026","5,766.68","5,774.63","5,775.07","5,722.15","26.87M","0.52%"
"02/01/2026","5,736.62","5,710.34","5,761.49","5,708.18","31.48M","0.58%"
"30/12/2025","5,703.53","5,672.50","5,720.15","5,670.37","24.61M","0.63%"
"29/12/2025","5,667.68","5,641.10","5,671.80","5,631.32","24.54M","0.74%"
"23/12/2025","5,625.93","5,611.43","5,639.39","5,607.65","18.08M","0.32%"
"22/12/2025","5,608.05","5,593.08","5,611.93","5,583.62","20.31M","0.35%"
"19/12/2025","5,588.31","5,572.44","5,591.30","5,564.19","65.77M","0.28%"
"18/12/2025","5,572.94","5,496.10","5,572.94","5,493.59","39.18M","1.32%"
"17/12/2025","5,500.08","5,526.58","5,531.21","5,498.23","29.44M","-0.36%"
"16/12/2025","5,520.15","5,524.88","5,538.75","5,503.59","36.25M","-0.10%"
"15/12/2025","5,525.83","5,520.54","5,543.18","5,514.12","32.16M","0.39%"
"12/12/2025","5,504.46","5,572.30","5,573.39","5,498.83","35.75M","-0.93%"
"11/12/2025","5,555.92","5,544.74","5,576.82","5,528.33","36.23M","0.14%"
"10/12/2025","5,548.24","5,510.29","5,548.24","5,498.02","28.67M","0.37%"
"09/12/2025","5,527.65","5,534.26","5,541.36","5,510.84","26.81M","-0.27%"
"08/12/2025","5,542.66","5,514.71","5,542.66","5,510.23","25.10M","0.39%"
"05/12/2025","5,521.37","5,543.06","5,544.56","5,514.51","25.19M","0.13%"
"04/12/2025","5,514.22","5,490.29","5,522.54","5,466.48","29.71M","0.82%"
"03/12/2025","5,469.37","5,457.07","5,498.20","5,445.35","25.63M","0.51%"
"02/12/2025","5,441.67","5,436.73","5,454.15","5,420.63","22.63M","0.11%"
"01/12/2025","5,435.80","5,420.87","5,441.61","5,410.32","25.19M","0.10%"
"28/11/2025","5,430.27","5,438.20","5,445.03","5,420.56","34.26M","-0.10%"
"27/11/2025","5,435.64","5,413.68","5,437.94","5,402.59","16.75M","0.53%"
"26/11/2025","5,407.23","5,385.43","5,419.03","5,361.87","27.81M","0.92%"
"25/11/2025","5,358.14","5,330.06","5,364.08","5,309.38","30.90M","0.39%"
"24/11/2025","5,337.55","5,329.96","5,346.39","5,307.49","67.43M","0.89%"
"21/11/2025","5,290.22","5,260.90","5,303.25","5,232.94","37.06M","-0.84%"
"20/11/2025","5,334.97","5,362.55","5,382.29","5,334.12","41.97M","0.95%"
"19/11/2025","5,284.53","5,319.02","5,348.47","5,284.53","45.46M","-0.48%"
"18/11/2025","5,309.82","5,350.34","5,350.34","5,295.77","34.38M","-2.00%"
"17/11/2025","5,418.04","5,452.34","5,457.47","5,409.66","22.39M","-0.78%"
"14/11/2025","5,460.73","5,478.53","5,484.65","5,399.71","32.18M","-0.91%"
"13/11/2025","5,510.65","5,540.63","5,563.91","5,510.65","27.78M","-0.27%"
"12/11/2025","5,525.51","5,526.68","5,531.40","5,495.92","30.72M","0.14%"
"11/11/2025","5,517.84","5,444.46","5,517.84","5,437.89","34.06M","1.70%"
"10/11/2025","5,425.61","5,439.47","5,444.01","5,418.19","26.69M","0.66%"
"07/11/2025","5,390.30","5,415.78","5,436.08","5,370.06","34.06M","-0.53%"
"06/11/2025","5,418.85","5,393.95","5,439.52","5,390.21","32.35M","0.59%"
"05/11/2025","5,387.30","5,368.08","5,399.97","5,349.55","38.23M","-0.87%"
"04/11/2025","5,434.60","5,465.66","5,465.66","5,383.81","40.04M","-1.16%"
"03/11/2025","5,498.62","5,465.03","5,518.04","5,463.77","","0.32%"
"31/10/2025","5,480.84","5,527.20","5,536.66","5,480.84","58.43M","-0.84%"
"30/10/2025","5,526.99","5,535.07","5,537.68","5,498.91","47.21M","-0.57%"
"29/10/2025","5,558.41","5,563.49","5,589.38","5,520.81","100.13M","-0.15%"
"28/10/2025","5,566.83","5,434.29","5,573.28","5,383.22","91.00M","2.44%"
"27/10/2025","5,434.48","5,417.61","5,435.38","5,394.69","40.79M","0.69%"
"24/10/2025","5,397.15","5,384.31","5,400.55","5,317.76","38.07M","0.58%"
"23/10/2025","5,366.18","5,223.23","5,366.18","5,223.23","77.60M","3.49%"
"22/10/2025","5,185.26","5,165.79","5,202.15","5,156.51","42.68M","0.24%"
"21/10/2025","5,172.91","5,170.71","5,172.91","5,144.75","28.19M","0.20%"
"20/10/2025","5,162.47","5,129.28","5,162.53","5,115.13","27.70M","0.89%"
"17/10/2025","5,117.01","5,126.26","5,139.73","5,066.76","35.45M","-1.01%"
"16/10/2025","5,169.11","5,138.23","5,169.41","5,113.13","42.77M","0.95%"
"15/10/2025","5,120.32","5,115.15","5,124.35","5,095.38","33.57M","0.62%"
"14/10/2025","5,088.94","5,057.72","5,093.66","5,045.05","42.93M","0.50%"
"13/10/2025","5,063.63","5,072.97","5,085.51","5,040.94","29.23M","-0.02%"
"10/10/2025","5,064.55","5,080.38","5,113.44","5,058.24","42.69M","-0.17%"
"09/10/2025","5,073.04","5,065.55","5,092.63","5,064.01","28.79M","0.38%"
"08/10/2025","5,053.63","5,056.89","5,070.41","5,041.88","33.61M","0.46%"
"07/10/2025","5,030.42","5,016.60","5,055.00","5,007.36","27.07M","0.28%"
"06/10/2025","5,016.58","5,034.16","5,039.71","5,000.37","31.74M","-0.63%"
"03/10/2025","5,048.27","5,041.98","5,059.14","5,014.09","25.91M","0.40%"
"02/10/2025","5,028.33","5,047.27","5,060.01","5,011.33","26.46M","0.00%"
"01/10/2025","5,028.27","5,006.70","5,042.11","4,987.67","39.04M","0.25%"
"30/09/2025","5,015.78","5,003.86","5,015.99","4,972.55","40.47M","0.17%"
"29/09/2025","5,007.12","5,005.40","5,020.15","4,994.85","26.17M","0.29%"
"26/09/2025","4,992.57","4,983.25","5,006.27","4,967.36","24.61M","0.50%"
"25/09/2025","4,967.89","5,008.16","5,018.09","4,967.89","34.00M","-0.87%"
"24/09/2025","5,011.43","5,042.32","5,042.45","5,010.83","33.95M","-0.51%"
"23/09/2025","5,037.37","5,005.48","5,052.31","5,002.82","30.05M","0.82%"
"22/09/2025","4,996.55","5,012.08","5,020.04","4,987.57","33.92M","-0.11%"
"19/09/2025","5,001.97","5,015.06","5,038.57","5,001.97","180.25M","-0.24%"
"18/09/2025","5,014.22","5,058.40","5,059.97","5,011.55","34.76M","-0.30%"
"17/09/2025","5,029.37","5,048.87","5,064.81","5,027.41","37.11M","-0.01%"
"16/09/2025","5,029.99","5,051.33","5,058.76","5,025.20","33.10M","-0.55%"
"15/09/2025","5,058.03","5,070.27","5,080.67","5,040.12","23.24M","0.05%"
"12/09/2025","5,055.50","5,073.37","5,078.90","5,043.79","25.45M","-0.12%"
"11/09/2025","5,061.51","5,032.48","5,073.09","5,027.67","23.85M","0.72%"
"10/09/2025","5,025.49","5,036.36","5,052.10","5,014.41","27.53M","0.24%"
"09/09/2025","5,013.49","5,022.53","5,046.13","5,004.92","21.93M","-0.04%"
